,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
299,300,"Derrick McKey, F",IND,32,19.8,-3.13,1.2,-1.94,0.2
300,301,"Tim James, F",MIA,4,5.8,-2.34,0.39,-1.95,0.01
301,302,"Shawn Kemp, C",CLE,82,30.4,-0.05,-1.9,-1.95,0.83
302,303,"Brent Price, G",VAN,41,10.3,-0.73,-1.24,-1.96,0.12
303,304,"Eric Piatkowski, SG",LAC,75,22.8,0.49,-2.46,-1.97,0.53
304,305,"Gary Trent, PF",DAL,11,27.4,-0.61,-1.37,-1.98,0.09
305,306,"Calbert Cheaney, SG",BOS,67,19.5,-3.16,1.17,-1.99,0.38
306,307,"Richard Hamilton, SG",WSH,71,19.3,-0.14,-1.85,-1.99,0.39
307,308,"Bimbo Coles, PG",ATL,80,24.1,-1.2,-0.81,-2.0,0.54
308,309,"Tyrone Nesby, F",LAC,73,31.7,-0.02,-2.01,-2.02,0.63
309,310,"Troy Hudson, PG",LAC,62,25.7,0.5,-2.53,-2.02,0.44
310,311,"Michael Hawkins, G",CHA,12,3.0,-1.06,-0.97,-2.03,0.01
311,312,"Shandon Anderson, SF",HOU,82,32.9,0.04,-2.08,-2.04,0.71
312,313,"Cherokee Parks, PF",VAN,56,14.4,-2.77,0.73,-2.05,0.2
313,314,"Kornel David, F",CHI/CLE,32,14.8,-2.84,0.77,-2.07,0.11
314,315,"Eric Williams, PF",BOS,68,20.3,-0.79,-1.3,-2.09,0.32
315,316,"Travis Knight, C",LAL,63,6.5,-2.35,0.26,-2.09,0.09
316,317,"Duane Causwell, C",MIA,25,7.4,-1.66,-0.44,-2.1,0.04
317,318,"Mario Elie, NA",,--,--,-1.95,-0.15,-2.1,0.47
318,319,"Juwan Howard, PF",WSH,82,35.5,-1.37,-0.75,-2.12,0.61
319,320,"Adonal Foyle, C",GS,76,21.8,-2.28,0.13,-2.15,0.3
320,321,"Keith Van Horn, PF",NJ,80,34.8,0.36,-2.55,-2.19,0.45
321,322,"Danny Manning, F",MIL,72,16.9,-3.22,1.01,-2.2,0.17
322,323,"Mike Bibby, PG",VAN,82,38.5,1.17,-3.39,-2.23,0.42
323,324,"Charles Oakley, PF",TOR,80,30.4,-3.9,1.64,-2.26,0.26
324,325,"Derek Anderson, SG",LAC,64,34.4,0.61,-2.92,-2.31,0.17
325,326,"Carlos Rogers, F",HOU,53,20.8,-0.8,-1.52,-2.32,0.08
326,327,"John Salley, C",LAL,45,6.7,-3.39,1.05,-2.34,0.02
327,328,"Reggie Jordan, G",WSH,36,6.8,-3.39,0.99,-2.4,0.0
328,329,"Quincy Lewis, SG",UTAH,74,12.1,-3.07,0.67,-2.4,0.01
329,330,"Etdrick Bohannon, F",NY/LAC,13,9.1,-1.47,-0.94,-2.41,0.0
330,331,"Rex Chapman, G",PHX,53,18.1,-0.37,-2.05,-2.42,0.0
331,332,"Rex Walters, G",MIA,33,11.8,-1.73,-0.72,-2.45,-0.01
332,333,"Jason Terry, G",ATL,81,23.3,-0.18,-2.29,-2.47,-0.07
