,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
105,Dean Wade,CLE,25,51,27,24,19.2,103.8,2.3,12.0,16.9,0.6,19.1,0.1,9.3,6.6,4.3,4.7,17.7,0.093
106,Will Barton,DEN,31,71,41,30,32.1,110.4,4.2,12.8,17.9,0.8,17.0,0.4,17.0,11.3,7.5,8.8,34.7,0.093
107,Tyus Jones,MEM,26,73,51,22,21.2,105.5,2.2,9.7,14.3,0.9,20.2,0.0,0.9,6.0,6.3,5.3,20.6,0.092
108,Langston Galloway,MIL,30,7,4,3,15.2,100.0,2.1,10.6,16.5,0.1,5.9,0.0,0.0,5.4,4.6,3.6,16.3,0.091
109,Kristaps Porzingis,WAS,26,51,26,25,29.0,109.5,6.1,20.4,28.5,0.7,20.3,1.6,56.4,8.4,6.4,7.2,26.8,0.091
110,Julius Randle,NYK,27,72,32,40,35.3,111.6,8.2,22.5,32.3,0.7,15.9,0.5,14.6,11.8,9.1,10.1,33.0,0.091
111,Chris Boucher,TOR,29,80,48,32,21.1,105.7,3.9,18.3,27.4,0.6,15.7,0.9,41.7,6.3,6.0,4.6,18.1,0.091
112,Royce O'Neale,UTA,29,77,46,31,31.2,110.5,3.9,12.0,17.2,1.1,23.6,0.4,12.5,10.6,8.6,7.7,30.1,0.090
113,Devin Cannady,ORL,26,5,2,3,28.9,109.6,1.0,3.2,4.4,1.0,27.8,0.6,30.0,8.8,8.2,6.8,26.8,0.090
114,Russell Westbrook,LAL,33,78,31,47,34.3,111.5,6.0,16.5,24.7,1.0,17.9,0.3,7.1,12.1,9.7,10.8,36.8,0.090
115,Malcolm Brogdon,IND,29,36,14,22,33.5,111.1,4.2,12.1,17.4,0.8,19.5,0.4,9.0,10.9,9.3,8.3,34.4,0.089
116,Ja Morant,MEM,22,57,36,21,33.1,111.2,4.4,12.4,17.8,1.2,19.0,0.4,8.9,10.3,8.5,9.0,33.1,0.089
117,DeMar DeRozan,CHI,32,76,43,33,36.1,112.0,4.4,12.2,17.6,0.9,16.9,0.3,10.7,10.8,9.8,8.9,37.3,0.089
118,RJ Barrett,NYK,22,70,33,37,34.5,111.6,4.9,13.6,19.5,0.6,13.2,0.2,6.9,11.4,8.7,8.9,32.0,0.089
119,Jerami Grant,DET,28,47,11,36,31.9,110.7,3.5,10.8,15.9,0.9,21.6,1.0,31.2,11.2,8.1,6.8,32.2,0.089
120,Grant Williams,BOS,23,77,49,28,24.4,108.0,2.7,10.7,16.0,0.5,14.0,0.7,23.7,8.5,6.1,6.1,22.7,0.089
121,Herbert Jones,NOP,23,78,36,42,29.9,110.2,2.5,8.6,12.1,1.7,30.6,0.8,29.7,9.4,7.6,6.3,27.4,0.089
122,Gordon Hayward,CHA,32,49,26,23,31.9,111.0,3.8,11.4,17.0,1.0,16.0,0.4,14.5,10.1,9.7,9.4,31.9,0.088
123,Jonas Valanciunas,NOP,30,74,34,40,30.3,110.2,8.3,28.0,38.5,0.6,11.5,0.8,34.7,9.7,7.2,7.1,27.5,0.088
124,Myles Turner,IND,26,42,15,27,29.4,109.9,5.5,18.8,27.2,0.7,15.6,2.8,69.8,9.0,7.6,7.0,28.1,0.088
125,Josh Richardson,SAS,28,65,38,27,24.6,107.8,2.2,8.7,13.0,0.9,22.1,0.4,15.8,8.3,6.6,5.2,22.9,0.088
126,Mamadi Diakite,OKC,25,13,4,9,14.4,98.9,3.2,21.6,31.8,0.4,17.9,0.7,52.9,5.1,4.4,3.2,13.7,0.088
127,Chris Duarte,IND,25,55,21,34,28.0,109.7,3.4,11.7,16.9,1.0,24.1,0.2,5.7,9.8,7.8,7.3,29.1,0.087
